01	Thành phố Hà Nội		Thành phố Trung ương	
04	Tỉnh Cao Bằng		Tỉnh	
08	Tỉnh Tuyên Quang		Tỉnh	202/2025/QH15 - 12/06/2025                    
11	Tỉnh Điện Biên		Tỉnh	202/2025/QH15 - 12/06/2025                    
12	Tỉnh Lai Châu		Tỉnh	202/2025/QH15 - 12/06/2025                    
14	Tỉnh Sơn La		Tỉnh	202/2025/QH15 - 12/06/2025                    
15	Tỉnh Lào Cai		Tỉnh	
19	Tỉnh Thái Nguyên		Tỉnh	202/2025/QH15 - 12/06/2025                    
20	Tỉnh Lạng Sơn		Tỉnh	202/2025/QH15 - 12/06/2025                    
22	Tỉnh Quảng Ninh		Tỉnh	202/2025/QH15 - 12/06/2025                    
24	Tỉnh Bắc Ninh		Tỉnh	
25	Tỉnh Phú Thọ		Tỉnh	202/2025/QH15 - 12/06/2025                    
31	Thành phố Hải Phòng		Thành phố Trung ương	202/2025/QH15 - 12/06/2025                    
33	Tỉnh Hưng Yên		Tỉnh	202/2025/QH15 - 12/06/2025                    
37	Tỉnh Ninh Bình		Tỉnh	202/2025/QH15 - 12/06/2025                    
38	Tỉnh Thanh Hóa		Tỉnh	202/2025/QH15 - 12/06/2025                    
40	Tỉnh Nghệ An		Tỉnh	202/2025/QH15 - 12/06/2025                    
42	Tỉnh Hà Tĩnh		Tỉnh	202/2025/QH15 - 12/06/2025                    
44	Tỉnh Quảng Trị		Tỉnh	
46	Thành phố Huế		Thành phố Trung ương	202/2025/QH15 - 12/06/2025                    
48	Thành phố Đà Nẵng		Thành phố Trung ương	202/2025/QH15 - 12/06/2025                    
51	Tỉnh Quảng Ngãi		Tỉnh	202/2025/QH15 - 12/06/2025                    
52	Tỉnh Gia Lai		Tỉnh	
56	Tỉnh Khánh Hòa		Tỉnh	202/2025/QH15 - 12/06/2025                    
66	Tỉnh Đắk Lắk		Tỉnh	202/2025/QH15 - 12/06/2025                    
68	Tỉnh Lâm Đồng		Tỉnh	202/2025/QH15 - 12/06/2025                    
75	Thành phố Đồng Nai		Thành phố Trung ương	30/2026/QH16 - 24/04/2026                    
79	Thành phố Hồ Chí Minh		Thành phố Trung ương	202/2025/QH15 - 12/06/2025                    
80	Tỉnh Tây Ninh		Tỉnh	
82	Tỉnh Đồng Tháp		Tỉnh	
86	Tỉnh Vĩnh Long		Tỉnh	202/2025/QH15 - 12/06/2025                    
91	Tỉnh An Giang		Tỉnh	
92	Thành phố Cần Thơ		Thành phố Trung ương	202/2025/QH15 - 12/06/2025                    
96	Tỉnh Cà Mau